Ime i Prezime,Opis kartice,Naziv fotografije
Željko Knapi?,"(?akovec, 26. 3. 1945.), varaždinski atleti?ar. Višestruki juniorski i seniorski državni prvak u disciplinama 100, 200 i 400 m. Omladinski prvak Balkana 1975. i 1978. na 100, 200, 4 x 100 i 4 x 400 m. Seniorski prvak Balkana 1979. Na MI u Splitu 1979. kao dio štafete 4 x 400 m osvojio je zlatnu/srebrnu medalju i na MI u Casablanci 1983. osvojio je broncu. Osvojio je i ?etvrto mjesto na Europskom dvoranskom prvenstvu 1978. Sudjelovao je na OI u Moskvi 1980. u sastavu štafete 4 x 400 m.",11.jpg
"Zdravka Komes
Vi?i?","(Varaždin, 1941. – Varaždin, 21. 2. 2015.), atleti?arka u disciplini skok u dalj. 
?lanica AK Sloboda, a nakon odlaska na studij ?lanica zagreba?ke Mladosti. 
Juniorska (1958.)  i seniorska (1961.) rekorderka u skoku u dalj. ?lanica državne reprezentacije na Balkanskim igrama.",12.jpg
Rudolf Markuši?,"(Zagreb, 4. 2. 1911. – Lepoglava, 11. 6. 1946.), atleti?ar, trgova?ki pomo?nik. Natjecao se  kao ?lan  Slavije (Varaždin), HAŠK (Zagreb), i Concordie  (Zagreb). Na OI u Berlinu 1936. natjecao se u disciplini bacanje koplja (petoboja), gdje u kvalifikacijskome natjecanju nije uspio prebaciti po?etnih 60 m, pa je tako ostao izvan finala i prilike da se bori za medalju. Bio je ?lan varaždinskoga Športskog društva Slavija te HŠK Concordia iz Zagreba. U bacanju koplja više je puta osvajao prva mjesta na 
doma?im natjecanjima te redom rušio rekorde tadašnje države. 1935. oborio je državni rekord u olimpijskom petoboju, a na izbornom natjecanju za odlazak na Olimpijske igre u Berlinu 1936. godine, srušio je rekord Messnera u bacanju koplja i tako osigurao vizu za Berlin. Nastup na Olimpijadi nije mu bio odve? uspješan. Nije prebacio po?etnih 57 metara i ostao je bez plasmana. Bio je prvak Jugoslavije 1936. i godinu dana kasnije kao ?lan varaždinske Slavije. Sve titule osvojio je u bacanju koplja. Godine 1939. bio je i pobjednik na Balkanskim igrama u Ateni. Kao lepoglavskog zatvorenika ubili su ga zatvorski ?uvari nakon završenog posla va?enja šljunka iz Bednje.",13.jpg
Mladen Mavar,"(Sarajevo, 1943. – Varaždin, 1982.), jedan od najboljih varaždinskih atleti?ara maratonaca. Državni rekorder u trci na 30 km. Kao junior u AK Sloboda po?eo trenirati skok u vis, tr?anje na srednjim prugama, a od 1971. bavi se dugim prugama. Postignu?e su mu dva državna rekorda, dva tre?a mjesta na državnom maratonu, mom?adsko prvo mjesto 1971. u Kumrovcu. Sudjelovao je na maratonima u New Yorku, Münchenu, Parizu, Teheranu, Londonu, Košicama.",14.jpg
Ivan Pavli?evi?,"(Kelemen, 1945.), atleti?ar, srednjoprugaš. Atletikom se po?eo baviti u AK 
Sloboda u drugom razredu Srednje strojarsko - tehni?ke škole u Varaždinu. Za državnu reprezentaciju nastupio sedam puta. Bio je dvostruki juniorski prvak Jugoslavije 1964. na 1500 m i 1500 m s preprekama. Te je godine bio tre?i na Europskom omladinskom prvenstvu u Varšavi. Kao ?lan osje?ke Slavonije sudjelovao na Balkanskim igrama i na II Europskim atletskim igrama u dvorani.",15.jpg
Stanislav Rijavec,,
"Dijana Soka?
Ištvanovi?","(?akovec, 1957.), atleti?ka, višestruka državna prvakinja, ?lanica AK Sloboda od 1971. do 1978. kada prelazi u AK Crvena zvezda. Nakon završene II. OŠ u ?akovcu i Gimnazije Josip Slavenski, završila je studij prava u Zagrebu. Bila je 21 puta državna prvakinja na 60, 100 i 200 metara u juniorskoj i seniorskoj konkurenciji. Na juniorskim i seniorskim Balkanskim igrama osvojila je šesnaest medalja - tri zlatne, dvije srebrne i jedanaest bron?anih. Za reprezentaciju Jugoslavije od 1970. do 1990. godine nastupala je u juniorskoj i seniorskoj konkurenciji 122 puta. Birana za najbolju sportašicu Varaždinu od 1972. – 1977. Danas živi u Beogradu.",17.jpg
"Bosiljka Šeb
Maloši?","(Varaždin, 1930. ? ), atleti?arka, ?lanica AK Sloboda, državna reprezentativka i prvakinja Jugoslavije. Za državnu reprezentaciju nastupila 5 puta. Tri puta je postavila državni rekord u disciplini 80 m s preponama (1950. i 1951.). Državna prvakinja 1948. i 1951.",18.jpg
Artur Taka?,"Artur Taka? (Celldömölk, Madžarska, 9. 6. 1918. – Kopaonik, Srbija, ? 28. 1. 2004.), jugoslavenski i hrvatski sportski djelatnik. U mladosti se bavio prvo nogometom (1934.), ali ubrzo prelazi u atleti?are. Bavio se i tenisom i hokejom na ledu gdje je organizator, pokreta? i osniva?. Bio je omladinski državni prvak u tr?anju na 800 m i 1500 m. U parovima osvaja omladinsko tenisko prvenstvo 1935. Bio je ?lan Slavije (Varaždin) i Varaždinskoga športskog kluba (1934. – 1940.) u kojem je jedan od osniva?a, HAŠK-a (Zagreb) 1940. – 1942. i Partizana (Beograd) 1945. – 1969. Tijekom II. svjetskog rata bio je interniran 1942. u Italiju, 1943. prebjegao u Švicarsku gdje je polazio te?ajeve za športske instruktore i postao suradnik i nastavnik Me?unarodnoga biroa za športsku pedagogiju i Olimpijskog instituta u Lausannei. Od 1946.  do 1969.  bio je generalni sekretar i potpredsjednik Atletskog saveza Jugoslavije. Od 1958. bio je ?lan Europskog odbora Me?unarodne atletske federacije, od 1962. njegov glavni tajnik, od 1968. ?lan Savjeta Europske atletske federacije (IAAF), a od 1976. njegov dopredsjednik. Bio je savjetnik Organizacijskog odbora OI 1968. u Mexicu, 1972. Munchenu te 1976. u Montrealu, zimskih OI 1972. u japanskom Saporu i tehni?ki direktor zimskih OI 1984. u Sarajevu gdje je bio i savjetnik u pripremama. Tehni?ki direktor Me?unarodnoga olimpijskog odbora 1969. – 1973. te savjetnik predsjednika 1985. – 1995. Bio je savjetnik II Afri?kih igara u Lagosu (Nigerija 1973.), VII Azijskih igara u Teheranu 1974. te na Mediteranskim igrama u Splitu 1979. Bavio se i sportskim novinarstvom. Nestao u me?avi na Kopaoniku, njegovo je tijelo prona?eno tek 17 mjeseci poslije.",19.jpg
Željko Vincek,"(16. 6. 1986.), hrvatski sportaš, sprinter specijaliziran za utrku na 400 m. Osvaja? zlatne medalje na Svjetskom juniorskom prvenstvu u Kaunasu 2005. te srebrne na Medinteranskim igrama u Almeriji. Najbolji sportaš grada Varaždina 2003. i 2005.",
